2022-10-25 21:34:59 startup archives install
2022-10-25 21:35:11 status half-installed lsb-release:all 11.1.0ubuntu4
2022-10-25 21:35:11 status unpacked lsb-release:all 11.1.0ubuntu4
2022-10-25 21:35:11 install media-types:all <none> 7.0.0
2022-10-25 21:35:11 status half-installed media-types:all 7.0.0
2022-10-25 21:35:11 status unpacked media-types:all 7.0.0
2022-10-25 21:35:11 install netbase:all <none> 6.3
2022-10-25 21:35:11 status half-installed netbase:all 6.3
2022-10-25 21:35:11 status unpacked netbase:all 6.3
2022-10-25 21:35:11 install netcat-openbsd:amd64 <none> 1.218-4ubuntu1
2022-10-25 21:35:11 status half-installed netcat-openbsd:amd64 1.218-4ubuntu1
2022-10-25 21:35:11 status unpacked netcat-openbsd:amd64 1.218-4ubuntu1
2022-10-25 21:35:11 install netplan.io:amd64 <none> 0.104-0ubuntu2
2022-10-25 21:35:11 status half-installed netplan.io:amd64 0.104-0ubuntu2
2022-10-25 21:35:11 status unpacked netplan.io:amd64 0.104-0ubuntu2
2022-10-25 21:35:11 install networkd-dispatcher:all <none> 2.1-2
2022-10-25 21:35:11 status half-installed networkd-dispatcher:all 2.1-2
2022-10-25 21:35:11 status unpacked networkd-dispatcher:all 2.1-2
2022-10-25 21:35:11 install openssl:amd64 <none> 3.0.2-0ubuntu1
2022-10-25 21:35:11 status half-installed openssl:amd64 3.0.2-0ubuntu1
2022-10-25 21:35:11 status unpacked openssl:amd64 3.0.2-0ubuntu1
2022-10-25 21:35:11 install python-apt-common:all <none> 2.3.0ubuntu2
2022-10-25 21:35:11 status half-installed python-apt-common:all 2.3.0ubuntu2
2022-10-25 21:35:11 status unpacked python-apt-common:all 2.3.0ubuntu2
2022-10-25 21:35:11 install python3:amd64 <none> 3.10.4-0ubuntu2
2022-10-25 21:35:11 status half-installed python3:amd64 3.10.4-0ubuntu2
2022-10-25 21:35:11 status unpacked python3:amd64 3.10.4-0ubuntu2
2022-10-25 21:35:11 install python3-apt:amd64 <none> 2.3.0ubuntu2
2022-10-25 21:35:11 status half-installed python3-apt:amd64 2.3.0ubuntu2
2022-10-25 21:35:11 status unpacked python3-apt:amd64 2.3.0ubuntu2
2022-10-25 21:35:11 install python3-dbus:amd64 <none> 1.2.18-3build1
2022-10-25 21:35:11 status half-installed python3-dbus:amd64 1.2.18-3build1
2022-10-25 21:35:11 status unpacked python3-dbus:amd64 1.2.18-3build1
2022-10-25 21:35:11 install python3-gi:amd64 <none> 3.42.0-3build1
2022-10-25 21:35:11 status half-installed python3-gi:amd64 3.42.0-3build1
2022-10-25 21:35:11 status unpacked python3-gi:amd64 3.42.0-3build1
2022-10-25 21:35:11 install python3-netifaces:amd64 <none> 0.11.0-1build2
2022-10-25 21:35:11 status half-installed python3-netifaces:amd64 0.11.0-1build2
2022-10-25 21:35:11 status unpacked python3-netifaces:amd64 0.11.0-1build2
2022-10-25 21:35:11 install python3-pkg-resources:all <none> 59.6.0-1.2
2022-10-25 21:35:11 status half-installed python3-pkg-resources:all 59.6.0-1.2
2022-10-25 21:35:11 status unpacked python3-pkg-resources:all 59.6.0-1.2
2022-10-25 21:35:11 install python3-yaml:amd64 <none> 5.4.1-1ubuntu1
2022-10-25 21:35:11 status half-installed python3-yaml:amd64 5.4.1-1ubuntu1
2022-10-25 21:35:11 status unpacked python3-yaml:amd64 5.4.1-1ubuntu1
2022-10-25 21:35:11 install python3.10:amd64 <none> 3.10.4-3
2022-10-25 21:35:11 status half-installed python3.10:amd64 3.10.4-3
2022-10-25 21:35:11 status unpacked python3.10:amd64 3.10.4-3
2022-10-25 21:35:11 install readline-common:all <none> 8.1.2-1
2022-10-25 21:35:11 status half-installed readline-common:all 8.1.2-1
2022-10-25 21:35:11 status unpacked readline-common:all 8.1.2-1
2022-10-25 21:35:11 install rsyslog:amd64 <none> 8.2112.0-2ubuntu2
2022-10-25 21:35:11 status half-installed rsyslog:amd64 8.2112.0-2ubuntu2
2022-10-25 21:35:11 status unpacked rsyslog:amd64 8.2112.0-2ubuntu2
2022-10-25 21:35:11 install shared-mime-info:amd64 <none> 2.1-2
2022-10-25 21:35:11 status half-installed shared-mime-info:amd64 2.1-2
2022-10-25 21:35:11 status unpacked shared-mime-info:amd64 2.1-2
2022-10-25 21:35:11 install sudo:amd64 <none> 1.9.9-1ubuntu2
2022-10-25 21:35:11 status half-installed sudo:amd64 1.9.9-1ubuntu2
2022-10-25 21:35:11 status unpacked sudo:amd64 1.9.9-1ubuntu2
2022-10-25 21:35:11 install systemd-timesyncd:amd64 <none> 249.11-0ubuntu3
2022-10-25 21:35:11 status half-installed systemd-timesyncd:amd64 249.11-0ubuntu3
2022-10-25 21:35:12 status unpacked systemd-timesyncd:amd64 249.11-0ubuntu3
2022-10-25 21:35:12 install tzdata:all <none> 2022a-0ubuntu1
2022-10-25 21:35:12 status half-installed tzdata:all 2022a-0ubuntu1
2022-10-25 21:35:12 status unpacked tzdata:all 2022a-0ubuntu1
2022-10-25 21:35:12 install ubuntu-advantage-tools:amd64 <none> 27.7~22.04.1
2022-10-25 21:35:12 status half-installed ubuntu-advantage-tools:amd64 27.7~22.04.1
2022-10-25 21:35:12 status unpacked ubuntu-advantage-tools:amd64 27.7~22.04.1
2022-10-25 21:35:12 install ubuntu-keyring:all <none> 2021.03.26
2022-10-25 21:35:12 status half-installed ubuntu-keyring:all 2021.03.26
2022-10-25 21:35:12 status unpacked ubuntu-keyring:all 2021.03.26
2022-10-25 21:35:12 install ubuntu-minimal:amd64 <none> 1.481
2022-10-25 21:35:12 status half-installed ubuntu-minimal:amd64 1.481
2022-10-25 21:35:12 status unpacked ubuntu-minimal:amd64 1.481
2022-10-25 21:35:12 install ucf:all <none> 3.0043
2022-10-25 21:35:12 status half-installed ucf:all 3.0043
2022-10-25 21:35:12 status unpacked ucf:all 3.0043
2022-10-25 21:35:12 install udev:amd64 <none> 249.11-0ubuntu3
2022-10-25 21:35:12 status half-installed udev:amd64 249.11-0ubuntu3
2022-10-25 21:35:12 status unpacked udev:amd64 249.11-0ubuntu3
2022-10-25 21:35:12 install vim-common:all <none> 2:8.2.3995-1ubuntu2
2022-10-25 21:35:12 status half-installed vim-common:all 2:8.2.3995-1ubuntu2
2022-10-25 21:35:12 status unpacked vim-common:all 2:8.2.3995-1ubuntu2
2022-10-25 21:35:12 install vim-tiny:amd64 <none> 2:8.2.3995-1ubuntu2
2022-10-25 21:35:12 status half-installed vim-tiny:amd64 2:8.2.3995-1ubuntu2
2022-10-25 21:35:12 status unpacked vim-tiny:amd64 2:8.2.3995-1ubuntu2
2022-10-25 21:35:12 install whiptail:amd64 <none> 0.52.21-5ubuntu2
2022-10-25 21:35:12 status half-installed whiptail:amd64 0.52.21-5ubuntu2
2022-10-25 21:35:12 status unpacked whiptail:amd64 0.52.21-5ubuntu2
2022-10-25 21:35:12 install xdg-user-dirs:amd64 <none> 0.17-2ubuntu4
2022-10-25 21:35:12 status half-installed xdg-user-dirs:amd64 0.17-2ubuntu4
2022-10-25 21:35:12 status unpacked xdg-user-dirs:amd64 0.17-2ubuntu4
2022-10-25 21:35:12 install xkb-data:all <none> 2.33-1
2022-10-25 21:35:12 status half-installed xkb-data:all 2.33-1
2022-10-25 21:35:12 status unpacked xkb-data:all 2.33-1
2022-10-25 21:35:12 install xxd:amd64 <none> 2:8.2.3995-1ubuntu2
2022-10-25 21:35:12 status half-installed xxd:amd64 2:8.2.3995-1ubuntu2
2022-10-25 21:35:12 status unpacked xxd:amd64 2:8.2.3995-1ubuntu2
2022-10-25 21:35:12 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2022-10-25 21:35:12 status half-configured libc-bin:amd64 2.35-0ubuntu3
2022-10-25 21:35:12 status installed libc-bin:amd64 2.35-0ubuntu3
2022-10-25 21:35:12 startup packages configure
2022-10-25 21:35:12 configure media-types:all 7.0.0 <none>
2022-10-25 21:35:12 status unpacked media-types:all 7.0.0
2022-10-25 21:35:12 status half-configured media-types:all 7.0.0
2022-10-25 21:35:12 status installed media-types:all 7.0.0
2022-10-25 21:35:12 configure libtext-iconv-perl:amd64 1.7-7build3 <none>
2022-10-25 21:35:12 status unpacked libtext-iconv-perl:amd64 1.7-7build3
2022-10-25 21:35:12 status half-configured libtext-iconv-perl:amd64 1.7-7build3
2022-10-25 21:35:12 status installed libtext-iconv-perl:amd64 1.7-7build3
2022-10-25 21:35:12 configure libtext-charwidth-perl:amd64 0.04-10build3 <none>
2022-10-25 21:35:12 status unpacked libtext-charwidth-perl:amd64 0.04-10build3
2022-10-25 21:35:12 status half-configured libtext-charwidth-perl:amd64 0.04-10build3
2022-10-25 21:35:12 status installed libtext-charwidth-perl:amd64 0.04-10build3
2022-10-25 21:35:12 configure init:amd64 1.62 <none>
2022-10-25 21:35:12 status unpacked init:amd64 1.62
2022-10-25 21:35:12 status half-configured init:amd64 1.62
2022-10-25 21:35:12 status installed init:amd64 1.62
2022-10-25 21:35:12 configure xdg-user-dirs:amd64 0.17-2ubuntu4 <none>
2022-10-25 21:35:12 status unpacked xdg-user-dirs:amd64 0.17-2ubuntu4
2022-10-25 21:35:12 status half-configured xdg-user-dirs:amd64 0.17-2ubuntu4
2022-10-25 21:35:12 status installed xdg-user-dirs:amd64 0.17-2ubuntu4
2022-10-25 21:35:12 configure libyaml-0-2:amd64 0.2.2-1build2 <none>
2022-10-25 21:35:12 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2022-10-25 21:35:12 status unpacked libyaml-0-2:amd64 0.2.2-1build2
2022-10-25 21:35:12 status half-configured libyaml-0-2:amd64 0.2.2-1build2
2022-10-25 21:35:12 status installed libyaml-0-2:amd64 0.2.2-1build2
2022-10-25 21:35:12 configure libglib2.0-0:amd64 2.72.1-1 <none>
2022-10-25 21:35:12 status unpacked libglib2.0-0:amd64 2.72.1-1
2022-10-25 21:35:12 status half-configured libglib2.0-0:amd64 2.72.1-1
2022-10-25 21:35:12 status installed libglib2.0-0:amd64 2.72.1-1
2022-10-25 21:35:12 configure distro-info-data:all 0.52 <none>
2022-10-25 21:35:12 status unpacked distro-info-data:all 0.52
2022-10-25 21:35:12 status half-configured distro-info-data:all 0.52
2022-10-25 21:35:12 status installed distro-info-data:all 0.52
2022-10-25 21:35:12 configure libestr0:amd64 0.1.10-2.1build3 <none>
2022-10-25 21:35:12 status unpacked libestr0:amd64 0.1.10-2.1build3
2022-10-25 21:35:12 status half-configured libestr0:amd64 0.1.10-2.1build3
2022-10-25 21:35:12 status installed libestr0:amd64 0.1.10-2.1build3
2022-10-25 21:35:12 configure libfastjson4:amd64 0.99.9-1build2 <none>
2022-10-25 21:35:12 status unpacked libfastjson4:amd64 0.99.9-1build2
2022-10-25 21:35:12 status half-configured libfastjson4:amd64 0.99.9-1build2
2022-10-25 21:35:12 status installed libfastjson4:amd64 0.99.9-1build2
2022-10-25 21:35:12 configure libsqlite3-0:amd64 3.37.2-2 <none>
2022-10-25 21:35:12 status unpacked libsqlite3-0:amd64 3.37.2-2
2022-10-25 21:35:12 status half-configured libsqlite3-0:amd64 3.37.2-2
2022-10-25 21:35:12 status installed libsqlite3-0:amd64 3.37.2-2
2022-10-25 21:35:12 configure cron:amd64 3.0pl1-137ubuntu3 <none>
2022-10-25 21:35:12 status unpacked cron:amd64 3.0pl1-137ubuntu3
2022-10-25 21:35:12 status half-configured cron:amd64 3.0pl1-137ubuntu3
2022-10-25 21:35:12 status installed cron:amd64 3.0pl1-137ubuntu3
2022-10-25 21:35:12 configure less:amd64 590-1build1 <none>
2022-10-25 21:35:12 status unpacked less:amd64 590-1build1
2022-10-25 21:35:12 status half-configured less:amd64 590-1build1
2022-10-25 21:35:12 status installed less:amd64 590-1build1
2022-10-25 21:35:12 configure libnetplan0:amd64 0.104-0ubuntu2 <none>
2022-10-25 21:35:12 status unpacked libnetplan0:amd64 0.104-0ubuntu2
2022-10-25 21:35:12 status half-configured libnetplan0:amd64 0.104-0ubuntu2
2022-10-25 21:35:12 status installed libnetplan0:amd64 0.104-0ubuntu2
2022-10-25 21:35:12 configure libnss-systemd:amd64 249.11-0ubuntu3 <none>
2022-10-25 21:35:12 status unpacked libnss-systemd:amd64 249.11-0ubuntu3
2022-10-25 21:35:12 status half-configured libnss-systemd:amd64 249.11-0ubuntu3
2022-10-25 21:35:12 status installed libnss-systemd:amd64 249.11-0ubuntu3
2022-10-25 21:35:12 configure xkb-data:all 2.33-1 <none>
2022-10-25 21:35:12 status unpacked xkb-data:all 2.33-1
2022-10-25 21:35:12 status half-configured xkb-data:all 2.33-1
2022-10-25 21:35:12 status installed xkb-data:all 2.33-1
2022-10-25 21:35:12 configure kmod:amd64 29-1ubuntu1 <none>
2022-10-25 21:35:12 status unpacked kmod:amd64 29-1ubuntu1
2022-10-25 21:35:12 status half-configured kmod:amd64 29-1ubuntu1
2022-10-25 21:35:12 status installed kmod:amd64 29-1ubuntu1
2022-10-25 21:35:12 configure libatm1:amd64 1:2.5.1-4build2 <none>
2022-10-25 21:35:12 status unpacked libatm1:amd64 1:2.5.1-4build2
2022-10-25 21:35:12 status half-configured libatm1:amd64 1:2.5.1-4build2
2022-10-25 21:35:12 status installed libatm1:amd64 1:2.5.1-4build2
2022-10-25 21:35:12 configure locales:all 2.35-0ubuntu3 <none>
2022-10-25 21:35:12 status unpacked locales:all 2.35-0ubuntu3
2022-10-25 21:35:12 status half-configured locales:all 2.35-0ubuntu3
2022-10-25 21:35:13 status installed locales:all 2.35-0ubuntu3
2022-10-25 21:35:13 configure ubuntu-keyring:all 2021.03.26 <none>
2022-10-25 21:35:13 status unpacked ubuntu-keyring:all 2021.03.26
2022-10-25 21:35:13 status half-configured ubuntu-keyring:all 2021.03.26
2022-10-25 21:35:13 status installed ubuntu-keyring:all 2021.03.26
2022-10-25 21:35:13 configure libtext-wrapi18n-perl:all 0.06-9 <none>
2022-10-25 21:35:13 status unpacked libtext-wrapi18n-perl:all 0.06-9
2022-10-25 21:35:13 status half-configured libtext-wrapi18n-perl:all 0.06-9
2022-10-25 21:35:13 status installed libtext-wrapi18n-perl:all 0.06-9
2022-10-25 21:35:13 configure xxd:amd64 2:8.2.3995-1ubuntu2 <none>
2022-10-25 21:35:13 status unpacked xxd:amd64 2:8.2.3995-1ubuntu2
2022-10-25 21:35:13 status half-configured xxd:amd64 2:8.2.3995-1ubuntu2
2022-10-25 21:35:13 status installed xxd:amd64 2:8.2.3995-1ubuntu2
2022-10-25 21:35:13 configure tzdata:all 2022a-0ubuntu1 <none>
2022-10-25 21:35:13 status unpacked tzdata:all 2022a-0ubuntu1
2022-10-25 21:35:13 status half-configured tzdata:all 2022a-0ubuntu1
2022-10-25 21:35:13 status installed tzdata:all 2022a-0ubuntu1
2022-10-25 21:35:13 configure libcap2-bin:amd64 1:2.44-1build3 <none>
2022-10-25 21:35:13 status unpacked libcap2-bin:amd64 1:2.44-1build3
2022-10-25 21:35:13 status half-configured libcap2-bin:amd64 1:2.44-1build3
2022-10-25 21:35:13 status installed libcap2-bin:amd64 1:2.44-1build3
2022-10-25 21:35:13 configure eject:amd64 2.37.2-4ubuntu3 <none>
2022-10-25 21:35:13 status unpacked eject:amd64 2.37.2-4ubuntu3
2022-10-25 21:35:13 status half-configured eject:amd64 2.37.2-4ubuntu3
2022-10-25 21:35:13 status installed eject:amd64 2.37.2-4ubuntu3
2022-10-25 21:35:13 configure libisc-export1105:amd64 1:9.11.19+dfsg-2.1ubuntu3 <none>
2022-10-25 21:35:13 status unpacked libisc-export1105:amd64 1:9.11.19+dfsg-2.1ubuntu3
2022-10-25 21:35:13 status half-configured libisc-export1105:amd64 1:9.11.19+dfsg-2.1ubuntu3
2022-10-25 21:35:13 status installed libisc-export1105:amd64 1:9.11.19+dfsg-2.1ubuntu3
2022-10-25 21:35:13 configure libglib2.0-data:all 2.72.1-1 <none>
2022-10-25 21:35:13 status unpacked libglib2.0-data:all 2.72.1-1
2022-10-25 21:35:13 status half-configured libglib2.0-data:all 2.72.1-1
2022-10-25 21:35:13 status installed libglib2.0-data:all 2.72.1-1
2022-10-25 21:35:13 configure vim-common:all 2:8.2.3995-1ubuntu2 <none>
2022-10-25 21:35:13 status unpacked vim-common:all 2:8.2.3995-1ubuntu2
2022-10-25 21:35:13 status half-configured vim-common:all 2:8.2.3995-1ubuntu2
2022-10-25 21:35:13 status installed vim-common:all 2:8.2.3995-1ubuntu2
2022-10-25 21:35:13 configure libslang2:amd64 2.3.2-5build4 <none>
2022-10-25 21:35:13 status unpacked libslang2:amd64 2.3.2-5build4
2022-10-25 21:35:13 status half-configured libslang2:amd64 2.3.2-5build4
2022-10-25 21:35:13 status installed libslang2:amd64 2.3.2-5build4
2022-10-25 21:35:13 configure libdbus-1-3:amd64 1.12.20-2ubuntu4 <none>
2022-10-25 21:35:13 status unpacked libdbus-1-3:amd64 1.12.20-2ubuntu4
2022-10-25 21:35:13 status half-configured libdbus-1-3:amd64 1.12.20-2ubuntu4
2022-10-25 21:35:13 status installed libdbus-1-3:amd64 1.12.20-2ubuntu4
2022-10-25 21:35:13 configure dbus:amd64 1.12.20-2ubuntu4 <none>
2022-10-25 21:35:13 status unpacked dbus:amd64 1.12.20-2ubuntu4
2022-10-25 21:35:13 status half-configured dbus:amd64 1.12.20-2ubuntu4
2022-10-25 21:35:13 status installed dbus:amd64 1.12.20-2ubuntu4
2022-10-25 21:35:13 configure libfribidi0:amd64 1.0.8-2ubuntu3 <none>
2022-10-25 21:35:13 status unpacked libfribidi0:amd64 1.0.8-2ubuntu3
2022-10-25 21:35:13 status half-configured libfribidi0:amd64 1.0.8-2ubuntu3
2022-10-25 21:35:13 status installed libfribidi0:amd64 1.0.8-2ubuntu3
2022-10-25 21:35:13 configure libmnl0:amd64 1.0.4-3build2 <none>
2022-10-25 21:35:13 status unpacked libmnl0:amd64 1.0.4-3build2
2022-10-25 21:35:13 status half-configured libmnl0:amd64 1.0.4-3build2
2022-10-25 21:35:13 status installed libmnl0:amd64 1.0.4-3build2
2022-10-25 21:35:13 configure systemd-timesyncd:amd64 249.11-0ubuntu3 <none>
2022-10-25 21:35:13 status unpacked systemd-timesyncd:amd64 249.11-0ubuntu3
2022-10-25 21:35:13 status half-configured systemd-timesyncd:amd64 249.11-0ubuntu3
2022-10-25 21:35:13 status installed systemd-timesyncd:amd64 249.11-0ubuntu3
2022-10-25 21:35:13 configure udev:amd64 249.11-0ubuntu3 <none>
2022-10-25 21:35:13 status unpacked udev:amd64 249.11-0ubuntu3
2022-10-25 21:35:13 status half-configured udev:amd64 249.11-0ubuntu3
2022-10-25 21:35:13 status installed udev:amd64 249.11-0ubuntu3
2022-10-25 21:35:13 configure sudo:amd64 1.9.9-1ubuntu2 <none>
2022-10-25 21:35:13 status unpacked sudo:amd64 1.9.9-1ubuntu2
2022-10-25 21:35:13 status half-configured sudo:amd64 1.9.9-1ubuntu2
2022-10-25 21:35:14 status installed sudo:amd64 1.9.9-1ubuntu2
2022-10-25 21:35:14 configure ucf:all 3.0043 <none>
2022-10-25 21:35:14 status unpacked ucf:all 3.0043
2022-10-25 21:35:14 status half-configured ucf:all 3.0043
2022-10-25 21:35:14 status installed ucf:all 3.0043
2022-10-25 21:35:14 configure libxtables12:amd64 1.8.7-1ubuntu5 <none>
2022-10-25 21:35:14 status unpacked libxtables12:amd64 1.8.7-1ubuntu5
2022-10-25 21:35:14 status half-configured libxtables12:amd64 1.8.7-1ubuntu5
2022-10-25 21:35:14 status installed libxtables12:amd64 1.8.7-1ubuntu5
2022-10-25 21:35:14 configure libmd0:amd64 1.0.4-1build1 <none>
2022-10-25 21:35:14 status unpacked libmd0:amd64 1.0.4-1build1
2022-10-25 21:35:14 status half-configured libmd0:amd64 1.0.4-1build1
2022-10-25 21:35:14 status installed libmd0:amd64 1.0.4-1build1
2022-10-25 21:35:14 configure python-apt-common:all 2.3.0ubuntu2 <none>
2022-10-25 21:35:14 status unpacked python-apt-common:all 2.3.0ubuntu2
2022-10-25 21:35:14 status half-configured python-apt-common:all 2.3.0ubuntu2
2022-10-25 21:35:14 status installed python-apt-common:all 2.3.0ubuntu2
2022-10-25 21:35:14 configure dmsetup:amd64 2:1.02.175-2.1ubuntu4 <none>
2022-10-25 21:35:14 status unpacked dmsetup:amd64 2:1.02.175-2.1ubuntu4
2022-10-25 21:35:14 status half-configured dmsetup:amd64 2:1.02.175-2.1ubuntu4
2022-10-25 21:35:14 status installed dmsetup:amd64 2:1.02.175-2.1ubuntu4
2022-10-25 21:35:14 configure gpgv:amd64 2.2.27-3ubuntu2 <none>
2022-10-25 21:35:14 status unpacked gpgv:amd64 2.2.27-3ubuntu2
2022-10-25 21:35:14 status half-configured gpgv:amd64 2.2.27-3ubuntu2
2022-10-25 21:35:14 status installed gpgv:amd64 2.2.27-3ubuntu2
2022-10-25 21:35:14 configure libxxhash0:amd64 0.8.1-1 <none>
2022-10-25 21:35:14 status unpacked libxxhash0:amd64 0.8.1-1
2022-10-25 21:35:14 status half-configured libxxhash0:amd64 0.8.1-1
2022-10-25 21:35:14 status installed libxxhash0:amd64 0.8.1-1
2022-10-25 21:35:14 configure libpam-systemd:amd64 249.11-0ubuntu3 <none>
2022-10-25 21:35:14 status unpacked libpam-systemd:amd64 249.11-0ubuntu3
2022-10-25 21:35:14 status half-configured libpam-systemd:amd64 249.11-0ubuntu3
2022-10-25 21:35:14 status installed libpam-systemd:amd64 249.11-0ubuntu3
2022-10-25 21:35:14 configure libgirepository-1.0-1:amd64 1.72.0-1 <none>
2022-10-25 21:35:14 status unpacked libgirepository-1.0-1:amd64 1.72.0-1
2022-10-25 21:35:14 status half-configured libgirepository-1.0-1:amd64 1.72.0-1
2022-10-25 21:35:14 status installed libgirepository-1.0-1:amd64 1.72.0-1
2022-10-25 21:35:14 configure netbase:all 6.3 <none>
2022-10-25 21:35:14 status unpacked netbase:all 6.3
2022-10-25 21:35:14 status half-configured netbase:all 6.3
2022-10-25 21:35:14 status installed netbase:all 6.3
2022-10-25 21:35:14 configure isc-dhcp-common:amd64 4.4.1-2.3ubuntu2 <none>
2022-10-25 21:35:14 status unpacked isc-dhcp-common:amd64 4.4.1-2.3ubuntu2
2022-10-25 21:35:14 status half-configured isc-dhcp-common:amd64 4.4.1-2.3ubuntu2
2022-10-25 21:35:14 status installed isc-dhcp-common:amd64 4.4.1-2.3ubuntu2
2022-10-25 21:35:14 configure openssl:amd64 3.0.2-0ubuntu1 <none>
2022-10-25 21:35:14 status unpacked openssl:amd64 3.0.2-0ubuntu1
2022-10-25 21:35:14 status half-configured openssl:amd64 3.0.2-0ubuntu1
2022-10-25 21:35:14 status installed openssl:amd64 3.0.2-0ubuntu1
2022-10-25 21:35:14 configure libbsd0:amd64 0.11.5-1 <none>
2022-10-25 21:35:14 status unpacked libbsd0:amd64 0.11.5-1
2022-10-25 21:35:14 status half-configured libbsd0:amd64 0.11.5-1
2022-10-25 21:35:14 status installed libbsd0:amd64 0.11.5-1
2022-10-25 21:35:14 configure libelf1:amd64 0.186-1build1 <none>
2022-10-25 21:35:14 status unpacked libelf1:amd64 0.186-1build1
2022-10-25 21:35:14 status half-configured libelf1:amd64 0.186-1build1
2022-10-25 21:35:14 status installed libelf1:amd64 0.186-1build1
2022-10-25 21:35:14 configure libpam-cap:amd64 1:2.44-1build3 <none>
2022-10-25 21:35:14 status unpacked libpam-cap:amd64 1:2.44-1build3
2022-10-25 21:35:14 status half-configured libpam-cap:amd64 1:2.44-1build3
2022-10-25 21:35:14 status installed libpam-cap:amd64 1:2.44-1build3
2022-10-25 21:35:14 configure iputils-ping:amd64 3:20211215-1 <none>
2022-10-25 21:35:14 status unpacked iputils-ping:amd64 3:20211215-1
2022-10-25 21:35:14 status half-configured iputils-ping:amd64 3:20211215-1
2022-10-25 21:35:14 status installed iputils-ping:amd64 3:20211215-1
2022-10-25 21:35:14 configure readline-common:all 8.1.2-1 <none>
2022-10-25 21:35:14 status unpacked readline-common:all 8.1.2-1
2022-10-25 21:35:14 status half-configured readline-common:all 8.1.2-1
2022-10-25 21:35:14 status installed readline-common:all 8.1.2-1
2022-10-25 21:35:14 configure iso-codes:all 4.9.0-1 <none>
2022-10-25 21:35:14 status unpacked iso-codes:all 4.9.0-1
2022-10-25 21:35:14 status half-configured iso-codes:all 4.9.0-1
2022-10-25 21:35:14 status installed iso-codes:all 4.9.0-1
2022-10-25 21:35:14 configure libstdc++6:amd64 12-20220319-1ubuntu1 <none>
2022-10-25 21:35:14 status unpacked libstdc++6:amd64 12-20220319-1ubuntu1
2022-10-25 21:35:14 status half-configured libstdc++6:amd64 12-20220319-1ubuntu1
2022-10-25 21:35:14 status installed libstdc++6:amd64 12-20220319-1ubuntu1
2022-10-25 21:35:14 configure liblocale-gettext-perl:amd64 1.07-4build3 <none>
2022-10-25 21:35:14 status unpacked liblocale-gettext-perl:amd64 1.07-4build3
2022-10-25 21:35:14 status half-configured liblocale-gettext-perl:amd64 1.07-4build3
2022-10-25 21:35:14 status installed liblocale-gettext-perl:amd64 1.07-4build3
2022-10-25 21:35:14 configure libpopt0:amd64 1.18-3build1 <none>
2022-10-25 21:35:14 status unpacked libpopt0:amd64 1.18-3build1
2022-10-25 21:35:14 status half-configured libpopt0:amd64 1.18-3build1
2022-10-25 21:35:14 status installed libpopt0:amd64 1.18-3build1
2022-10-25 21:35:14 configure libicu70:amd64 70.1-2 <none>
2022-10-25 21:35:14 status unpacked libicu70:amd64 70.1-2
2022-10-25 21:35:14 status half-configured libicu70:amd64 70.1-2
2022-10-25 21:35:14 status installed libicu70:amd64 70.1-2
2022-10-25 21:35:14 configure logrotate:amd64 3.19.0-1ubuntu1 <none>
2022-10-25 21:35:14 status unpacked logrotate:amd64 3.19.0-1ubuntu1
2022-10-25 21:35:14 status half-configured logrotate:amd64 3.19.0-1ubuntu1
2022-10-25 21:35:14 status installed logrotate:amd64 3.19.0-1ubuntu1
2022-10-25 21:35:14 configure distro-info:amd64 1.1build1 <none>
2022-10-25 21:35:14 status unpacked distro-info:amd64 1.1build1
2022-10-25 21:35:14 status half-configured distro-info:amd64 1.1build1
2022-10-25 21:35:14 status installed distro-info:amd64 1.1build1
2022-10-25 21:35:14 configure libnewt0.52:amd64 0.52.21-5ubuntu2 <none>
2022-10-25 21:35:14 status unpacked libnewt0.52:amd64 0.52.21-5ubuntu2
2022-10-25 21:35:14 status half-configured libnewt0.52:amd64 0.52.21-5ubuntu2
2022-10-25 21:35:14 status installed libnewt0.52:amd64 0.52.21-5ubuntu2
2022-10-25 21:35:14 configure libreadline8:amd64 8.1.2-1 <none>
2022-10-25 21:35:14 status unpacked libreadline8:amd64 8.1.2-1
2022-10-25 21:35:14 status half-configured libreadline8:amd64 8.1.2-1
2022-10-25 21:35:14 status installed libreadline8:amd64 8.1.2-1
2022-10-25 21:35:14 configure rsyslog:amd64 8.2112.0-2ubuntu2 <none>
2022-10-25 21:35:14 status unpacked rsyslog:amd64 8.2112.0-2ubuntu2
2022-10-25 21:35:14 status half-configured rsyslog:amd64 8.2112.0-2ubuntu2
2022-10-25 21:35:14 status installed rsyslog:amd64 8.2112.0-2ubuntu2
2022-10-25 21:35:14 configure netcat-openbsd:amd64 1.218-4ubuntu1 <none>
2022-10-25 21:35:14 status unpacked netcat-openbsd:amd64 1.218-4ubuntu1
2022-10-25 21:35:14 status half-configured netcat-openbsd:amd64 1.218-4ubuntu1
2022-10-25 21:35:14 status installed netcat-openbsd:amd64 1.218-4ubuntu1
2022-10-25 21:35:14 configure libdns-export1110:amd64 1:9.11.19+dfsg-2.1ubuntu3 <none>
2022-10-25 21:35:14 status unpacked libdns-export1110:amd64 1:9.11.19+dfsg-2.1ubuntu3
2022-10-25 21:35:14 status half-configured libdns-export1110:amd64 1:9.11.19+dfsg-2.1ubuntu3
